cve,epss,percentile
CVE-2023-0001,0.00043,0.07027
CVE-2023-0002,0.00042,0.05675
CVE-2023-0003,0.00068,0.27908
CVE-2023-0004,0.00045,0.12543
CVE-2023-0005,0.00048,0.14879
CVE-2023-0006,0.00042,0.05675
CVE-2023-0007,0.00045,0.12002
CVE-2023-0008,0.00068,0.27908
CVE-2023-0009,0.00042,0.05675
CVE-2023-0010,0.00045,0.12002
CVE-2023-0012,0.00043,0.07027
CVE-2023-0013,0.00046,0.13988
CVE-2023-0014,0.00091,0.37850
CVE-2023-0015,0.00045,0.12002
CVE-2023-0016,0.00050,0.16805
CVE-2023-0017,0.00102,0.40804
CVE-2023-0018,0.00046,0.13988
CVE-2023-0019,0.00049,0.15307
CVE-2023-0020,0.00049,0.15307
CVE-2023-0021,0.00052,0.18362
CVE-2023-0022,0.00049,0.15376
CVE-2023-0023,0.00049,0.15307
CVE-2023-0024,0.00045,0.12002
CVE-2023-0025,0.00045,0.12002
CVE-2023-0026,0.00046,0.13988
CVE-2023-0027,0.00045,0.12002
CVE-2023-0028,0.00046,0.13988
CVE-2023-0029,0.00049,0.15509
CVE-2023-0030,0.00042,0.05675
CVE-2023-0033,0.00045,0.12002
CVE-2023-0034,0.00045,0.12002
CVE-2023-0035,0.00042,0.05675
CVE-2023-0036,0.00042,0.05675
CVE-2023-0037,0.00230,0.59985
CVE-2023-0038,0.00097,0.39601
CVE-2023-0039,0.00044,0.10615
CVE-2023-0040,0.00048,0.14876
CVE-2023-0041,0.00049,0.16273
CVE-2023-0042,0.00046,0.13988
CVE-2023-0043,0.00046,0.13988
CVE-2023-0044,0.00046,0.13988
CVE-2023-0045,0.00189,0.55214
CVE-2023-0046,0.00050,0.16805
CVE-2023-0048,0.00049,0.15376
CVE-2023-0049,0.00054,0.19381
CVE-2023-0050,0.00218,0.58570
CVE-2023-0051,0.00050,0.17262
CVE-2023-0052,0.00055,0.20754
CVE-2023-0053,0.00087,0.35654
CVE-2023-0054,0.00053,0.19134
CVE-2023-0055,0.00046,0.13988
CVE-2023-0056,0.00065,0.26671
CVE-2023-0057,0.00046,0.13988
CVE-2023-0059,0.00045,0.12002
CVE-2023-0060,0.00045,0.12002
CVE-2023-0061,0.00045,0.12002
CVE-2023-0062,0.00045,0.12002
CVE-2023-0063,0.00045,0.12002
CVE-2023-0064,0.00045,0.12002
CVE-2023-0065,0.00045,0.12002
CVE-2023-0066,0.00045,0.12002
CVE-2023-0067,0.00045,0.12002
CVE-2023-0068,0.00045,0.12002
CVE-2023-0069,0.00045,0.12002
CVE-2023-0070,0.00045,0.12002
CVE-2023-0071,0.00045,0.12002
CVE-2023-0072,0.00045,0.12002
CVE-2023-0073,0.00045,0.12002
CVE-2023-0074,0.00045,0.12002
CVE-2023-0075,0.00045,0.12002
CVE-2023-0076,0.00045,0.12002
CVE-2023-0077,0.00059,0.22909
CVE-2023-0078,0.00045,0.12002
CVE-2023-0080,0.00070,0.28850
CVE-2023-0081,0.00045,0.12002
CVE-2023-0082,0.00045,0.12002
CVE-2023-0083,0.00042,0.05675
CVE-2023-0084,0.00115,0.44168
CVE-2023-0085,0.00066,0.26966
CVE-2023-0086,0.00057,0.21737
CVE-2023-0087,0.00045,0.12002
